,Country ,Year,Population ,Per capita GNI ,"Agriculture, hunting, forestry, fishing (ISIC A-B) ",Construction (ISIC F) ,Exports of goods and services ,Imports of goods and services ,"Transport, storage and communication (ISIC I) ","Wholesale, retail trade, restaurants and hotels (ISIC G-H) ",Gross National Income(GNI) in USD ,Gross Domestic Product (GDP) ,cluster
13, Armenia ,2021,2790974,5032,1571535246.0,902838385.0,4854383306.0,5991229822.0,913853737.0,1798607270.0,14043616746.0,13861418912.0,0
14, Barbados ,2021,281200,16887,71800000.0,281900000.0,1471300000.0,1960350000.0,532600000.0,757200000.0,4748718879.0,4843800000.0,0
15, Belgium ,2021,11611419,51639,3939944521.0,28739288521.0,516000000000.0,510000000000.0,52717810745.0,67601178259.0,600000000000.0,594000000000.0,2
16, Bermuda ,2021,64185,112607,17153402.0,282380806.0,3598243481.0,1738948207.0,328785897.0,673756556.0,7227667075.0,7230610106.0,0
17, Bhutan ,2021,777486,2809,404894756.0,279075114.0,686022222.0,1162281406.0,233450026.0,278161438.0,2183728787.0,2381373513.0,0
18, Bolivia (Plurinational State of) ,2021,12079472,3266,5221650827.0,1142974478.0,11243140348.0,12605111072.0,3631438152.0,3890587190.0,39454581920.0,40408208528.0,0
19, Bosnia and Herzegovina ,2021,3270943,7082,1204869125.0,1020274988.0,9968914277.0,12750062005.0,1835672292.0,3736371556.0,23163373600.0,23365274674.0,0
20, Botswana ,2021,2588423,6692,303289225.0,2049821112.0,7858678618.0,8783740495.0,857003982.0,2566713501.0,17321391760.0,17614859700.0,0
21, Brazil ,2021,214326223,7305,111000000000.0,55139793755.0,323000000000.0,307000000000.0,103000000000.0,199000000000.0,1570000000000.0,1610000000000.0,0
22, Belize ,2021,400031,5936,191570272.0,150586514.0,1158164943.0,1248326800.0,173963264.0,439455587.0,2374631730.0,2491673431.0,0
23, Solomon Islands ,2021,707851,2323,548229667.0,81681971.0,414071523.0,551951200.0,101726552.0,280260990.0,1644416715.0,1632291061.0,0
24, British Virgin Islands ,2021,31122,45120,1983849.0,53338525.0,1722196885.0,1185019570.0,116846924.0,271395598.0,1404238792.0,1538792087.0,0
25, Brunei Darussalam ,2021,445373,31650,175962217.0,342150645.0,11228856094.0,9377938267.0,534093395.0,945862170.0,14096162741.0,14006497000.0,0
26, Bulgaria ,2021,6885868,11889,3670813744.0,2765491073.0,51549334099.0,50138561775.0,9131230065.0,13577965564.0,81866102100.0,84057565267.0,0
27, Myanmar ,2021,53798084,1095,14925509689.0,3339202231.0,15381631367.0,12710921584.0,7544585620.0,12485403064.0,58926127842.0,58582089718.0,0
28, Burundi ,2021,12551213,312,1322658220.0,133840983.0,334814542.0,1174110406.0,148719389.0,201770037.0,3910535099.0,3899747783.0,0
29, Belarus ,2021,9578167,6842,4640651127.0,3480828779.0,49184016465.0,45444352270.0,8547218923.0,6481940776.0,65534268073.0,68206172117.0,0
30, Cambodia ,2021,16589023,1523,6058766822.0,4158145204.0,15687901596.0,22886955112.0,1765493304.0,3047377549.0,25257053702.0,26669490942.0,0
31, Cameroon ,2021,27198628,1636,7803535845.0,2608851886.0,7883872847.0,9256886994.0,5608048443.0,7331542280.0,44501391743.0,45367649044.0,0
32, Canada ,2021,38155012,51741,35298145664.0,141000000000.0,611000000000.0,609000000000.0,144000000000.0,235000000000.0,1970000000000.0,1990000000000.0,2
33, Cabo Verde ,2021,587925,3229,85380804.0,255776838.0,476614943.0,1123172369.0,213850861.0,212076326.0,1898443771.0,1936174201.0,0
34, Cayman Islands ,2021,68136,61982,24489222.0,242909116.0,3595414477.0,2618830765.0,321826431.0,631950091.0,4223197056.0,5808612073.0,0
35, Central African Republic ,2021,5457154,493,799206242.0,40715715.0,333133756.0,784157435.0,51877251.0,465043183.0,2689505126.0,2517718099.0,0
36, Sri Lanka ,2021,21773441,3823,7686523521.0,5823600015.0,15131954882.0,21585804973.0,9307964085.0,10370119561.0,83245207212.0,85308759183.0,0
37, Chad ,2021,17179740,923,7204199015.0,295114694.0,4350335552.0,3401746610.0,598026539.0,1677902921.0,15853971449.0,16409566631.0,0
38, Chile ,2021,19493184,15320,10414961431.0,19382562280.0,101000000000.0,103000000000.0,24881275196.0,34088596088.0,299000000000.0,317000000000.0,0
39, China ,2021,1425893465,12324,1350000000000.0,1240000000000.0,3530000000000.0,3060000000000.0,1410000000000.0,1990000000000.0,17600000000000.0,17700000000000.0,1
40, Colombia ,2021,51516562,6003,23361443597.0,14850023447.0,51599165400.0,76863163971.0,21597154525.0,42756222380.0,309000000000.0,314000000000.0,0
41, Comoros ,2021,821625,1620,500474447.0,11299215.0,87767470.0,364547252.0,83759102.0,257016730.0,1331432199.0,1340468496.0,0
42, Congo ,2021,5835806,1737,1100211803.0,137802709.0,8831287135.0,5173753744.0,824554590.0,1989345443.0,10133957855.0,12840627675.0,0
43, D.R. of the Congo ,2021,95894118,541,10486216666.0,558023404.0,21651289665.0,21234910077.0,4661105234.0,6318386895.0,51897907755.0,52849911906.0,0
44, Cook Islands ,2021,17003,19264,8945543.0,10361924.0,277878440.0,195667916.0,36339249.0,81394396.0,327543922.0,327543922.0,0
45, Costa Rica ,2021,5153957,11627,2863275923.0,2655400952.0,23226247652.0,22161095425.0,5704930357.0,7142013006.0,59926089135.0,64282436594.0,0
46, Croatia ,2021,4060135,16950,2004502090.0,3426386012.0,35358798636.0,36372794811.0,5964827661.0,9865657155.0,68820292559.0,68955088873.0,0
47, Cuba ,2021,11256372,11086,2683671309.0,11654016821.0,6962835496.0,6121201517.0,6801997550.0,21631933202.0,125000000000.0,127000000000.0,0
48, Cyprus ,2021,880028,29554,483031143.0,1548443614.0,24606202507.0,23776273631.0,3596595009.0,3505878827.0,26008033632.0,28408121234.0,0
49, Czechia ,2021,10510751,25608,5200485896.0,14324919850.0,205000000000.0,197000000000.0,32320814337.0,31229532018.0,269000000000.0,282000000000.0,0
50, Benin ,2021,12996895,1347,5046093382.0,1016672337.0,3700039684.0,4799723190.0,1578600764.0,2655335484.0,17502880446.0,17687623535.0,0
51, Denmark ,2021,5854240,70390,3454049532.0,19251761247.0,238000000000.0,209000000000.0,43440764691.0,52452054810.0,412000000000.0,398000000000.0,0
52, Dominica ,2021,72412,7594,94477778.0,32639883.0,114172210.0,276621480.0,73318445.0,62648126.0,549867076.0,548215595.0,0
53, Dominican Republic ,2021,11117873,8053,5339627232.0,13469953952.0,20500491794.0,29198653884.0,8739375330.0,15245878031.0,89537227858.0,94243426487.0,0
54, Ecuador ,2021,17797737,5873,9994760000.0,9320219000.0,27803104000.0,26751297000.0,8211188000.0,12756896000.0,105000000000.0,106000000000.0,0
55, El Salvador ,2021,6314167,4294,1413032428.0,1516255742.0,8490952259.0,15753952107.0,2119720709.0,4039226097.0,27112722585.0,28736940855.0,0
56, Equatorial Guinea ,2021,1634466,6991,322900081.0,433954352.0,6776314042.0,5326980333.0,761653086.0,966801341.0,11426919250.0,12430854974.0,0
57, Ethiopia ,2021,120283026,821,37298985183.0,15714098271.0,7537296692.0,16540790735.0,4195414074.0,14874097761.0,98771506966.0,99268512532.0,0
58, Eritrea ,2021,3620312,616,397588790.0,362017492.0,696885418.0,636958978.0,282974026.0,262355136.0,2229672327.0,2255389718.0,0
59, Estonia ,2021,1328701,27506,751513193.0,2183102064.0,29119437815.0,29255091032.0,4854202781.0,4319012790.0,36546675581.0,37191166152.0,0
60, Fiji ,2021,924610,4376,623887672.0,92521619.0,1173264219.0,2345031311.0,308127842.0,472673712.0,4045925538.0,4296235427.0,0
61, Finland ,2021,5535992,54714,6825594329.0,19918529562.0,117000000000.0,117000000000.0,25802662605.0,26786702543.0,303000000000.0,297000000000.0,0
62, France ,2021,66875883,45535,48514824779.0,148000000000.0,871000000000.0,929000000000.0,283000000000.0,328000000000.0,3050000000000.0,2960000000000.0,2
63, French Polynesia ,2021,304032,19915,179178542.0,183251150.0,1019164607.0,2105702919.0,659502083.0,825003766.0,6054675381.0,6054675381.0,0
64, Djibouti ,2021,1105557,3254,43575428.0,131810419.0,5608227373.0,6556945938.0,794274257.0,1019239017.0,3596939893.0,3701419641.0,0
65, Gabon ,2021,2341179,7358,1145473152.0,607721115.0,9862033331.0,3657687647.0,2217911570.0,920417973.0,17226269728.0,18520706721.0,0
66, Georgia ,2021,3757980,4700,1143421615.0,1310175848.0,8055098497.0,10960888842.0,1548252392.0,3252367498.0,17662033115.0,18696419950.0,0
67, Gambia ,2021,2639916,753,456986884.0,256953209.0,135583292.0,726966861.0,122982520.0,675900414.0,1988020570.0,2038414974.0,0
68, State of Palestine ,2021,5133392,4176,1293555240.0,969623319.0,3180200000.0,10244900000.0,887108581.0,4211600562.0,21434600000.0,18036800000.0,0
69, Germany ,2021,83408554,52885,36240345841.0,213000000000.0,2000000000000.0,1780000000000.0,367000000000.0,438000000000.0,4410000000000.0,4260000000000.0,1
70, Ghana ,2021,32833031,2348,15586248345.0,5047826688.0,23651778425.0,22556303288.0,8926025863.0,14177249108.0,77088309100.0,79082784426.0,0
71, Kiribati ,2021,128874,3018,52562627.0,10834421.0,10754925.0,201765194.0,17593725.0,12947257.0,388976942.0,227454167.0,0
72, Greece ,2021,10445365,20481,8317434358.0,3459628950.0,87827556200.0,104000000000.0,18992680962.0,35122577673.0,214000000000.0,215000000000.0,0
73, Greenland ,2021,56243,56613,588299617.0,367995324.0,1329743575.0,1585609516.0,350129469.0,352307865.0,3184058181.0,3272512495.0,0
74, Grenada ,2021,124610,8529,57588259.0,87185333.0,448478543.0,670307836.0,102531474.0,129716340.0,1062761900.0,1115287981.0,0
75, Guatemala ,2021,17608483,4791,8079956883.0,4637037000.0,15296700178.0,27577195374.0,5730678217.0,19531536599.0,84360880033.0,85985881813.0,0
76, Guinea ,2021,13531906,1046,4070368272.0,331672269.0,10334564034.0,8387189025.0,687276919.0,2758664169.0,14154315104.0,16036108888.0,0
77, Guyana ,2021,804567,11063,1085118047.0,499446728.0,6633816903.0,6149475117.0,324791379.0,394358826.0,8900831478.0,8044499719.0,0
78, Haiti ,2021,11447569,1665,3925920865.0,786989613.0,1354909304.0,5700136415.0,807796688.0,4521741904.0,19064726488.0,19043741493.0,0
79, Honduras ,2021,10278345,2546,3145396350.0,1652157616.0,10957712323.0,17639458712.0,1809731597.0,4813392974.0,26171879119.0,28488721296.0,0
80," China, Hong Kong SAR ",2021,7494578,52777,333828081.0,13616501001.0,751000000000.0,734000000000.0,28539900665.0,74884138628.0,396000000000.0,369000000000.0,2
81, Hungary ,2021,9709786,18139,6100253732.0,9415333357.0,148000000000.0,148000000000.0,16440055090.0,19070782832.0,176000000000.0,182000000000.0,0
82, Iceland ,2021,370335,69996,1158138673.0,1825391146.0,9779499273.0,10236699691.0,2251445777.0,2600055371.0,25921824912.0,25602419210.0,0
83, India ,2021,1407563842,2239,538000000000.0,233000000000.0,685000000000.0,765000000000.0,171000000000.0,306000000000.0,3150000000000.0,3200000000000.0,2
84, Indonesia ,2021,273753191,4217,158000000000.0,124000000000.0,256000000000.0,224000000000.0,103000000000.0,183000000000.0,1150000000000.0,1190000000000.0,0
85, Iran (Islamic Republic of) ,2021,87923432,6556,74688030049.0,22205985348.0,132000000000.0,131000000000.0,49061589273.0,68557284436.0,576000000000.0,595000000000.0,0
86, Iraq ,2021,43533592,4645,8215737103.0,12281813308.0,90356082180.0,59120321679.0,17946708492.0,16712951302.0,202000000000.0,204000000000.0,0
87, Ireland ,2021,4986526,76726,5131383886.0,10310898206.0,678000000000.0,479000000000.0,92450618407.0,34361889295.0,383000000000.0,504000000000.0,2
88, Israel ,2021,8900059,53302,5137600696.0,27810713649.0,143000000000.0,122000000000.0,67973553853.0,47347577109.0,474000000000.0,482000000000.0,0
89, Italy ,2021,59240329,36216,40667342822.0,94194975857.0,689000000000.0,639000000000.0,167000000000.0,283000000000.0,2150000000000.0,2110000000000.0,2
90, Côte d'Ivoire ,2021,27478249,2462,14233189607.0,2564575750.0,18145708023.0,17677646635.0,6783837589.0,9173432184.0,67652582611.0,69764830609.0,0
91, Jamaica ,2021,2827695,5023,1222560147.0,1198152311.0,4410860416.0,7272035896.0,866934664.0,2854173958.0,14203940166.0,14657583648.0,0
92, Japan ,2021,124612530,41162,51411331187.0,276000000000.0,910000000000.0,936000000000.0,491000000000.0,733000000000.0,5130000000000.0,4940000000000.0,2
93, Kazakhstan ,2021,19196465,9168,9867478032.0,11236108545.0,66124956710.0,47301125244.0,17270276997.0,35572386727.0,176000000000.0,193000000000.0,0
94, Jordan ,2021,11148278,4038,2373239437.0,1219718310.0,13817299977.0,23183070128.0,3788732394.0,4160563380.0,45011408451.0,45243661972.0,0
95, Kenya ,2021,53005614,2051,24748900929.0,7729288852.0,11662727161.0,22179797338.0,15304348594.0,9829675795.0,109000000000.0,110000000000.0,0
96, D.P.R. of Korea ,2021,25606518,662,3986607750.0,1708546179.0,983898021.0,1866412805.0,150754075.0,33500905.0,16941428838.0,16750452731.0,0
97, Republic of Korea ,2021,51830139,35329,32409935734.0,93300620219.0,761000000000.0,696000000000.0,143000000000.0,158000000000.0,1830000000000.0,1810000000000.0,2
98, Kosovo ,2021,1662009,5792,651628408.0,799389338.0,3144505536.0,6139441731.0,581956725.0,1476130871.0,9625975090.0,9412100728.0,0
99, Kuwait ,2021,4250114,36453,587282629.0,3496643117.0,71862575332.0,51209218303.0,9844694498.0,7106357710.0,155000000000.0,137000000000.0,0
100, Kyrgyzstan ,2021,6527743,1294,1204656306.0,678954890.0,3300229055.0,5939553611.0,585638216.0,1640220365.0,8449624676.0,8740681889.0,0
101, Lao People's DR ,2021,7425057,2414,3042921865.0,1737899190.0,6429029173.0,6980929396.0,539084904.0,2347205368.0,17922236523.0,19074407740.0,0
102, Lebanon ,2021,5592631,6521,1543120948.0,377999642.0,16948666342.0,35206818890.0,2133764814.0,6750772594.0,36468548455.0,37944879049.0,0
103, Lesotho ,2021,2281454,1224,100249072.0,49958336.0,1091501948.0,2256658227.0,103813841.0,178927352.0,2793629761.0,2373416386.0,0
104, Latvia ,2021,1873919,20876,1637234295.0,1918844762.0,25295205509.0,26660217928.0,4465544853.0,5818383326.0,39119352197.0,39853501580.0,0
105, Liberia ,2021,5193416,413,1635261976.0,37821731.0,829969595.0,1288915510.0,119817581.0,109099181.0,2146115577.0,2444888955.0,0
106, Libya ,2021,6735277,5839,1511274031.0,1287724514.0,15471905680.0,11204097476.0,1595504400.0,2838429730.0,39326665494.0,39005706444.0,0
107, Liechtenstein ,2021,39039,198294,9165894.0,268417183.0,4621771742.0,3644938077.0,223940541.0,479548203.0,7741217674.0,6607749611.0,0
108, Lithuania ,2021,2786651,22926,2201850864.0,4217976017.0,53483244791.0,50480361763.0,8980478916.0,10720015485.0,63887018863.0,66445256585.0,0
109, Luxembourg ,2021,639321,93369,166752191.0,4500637941.0,181000000000.0,151000000000.0,8388618766.0,7475769150.0,59692666902.0,85506243834.0,0
110," China, Macao SAR ",2021,686607,51684,,1213184135.0,26405991082.0,22691434582.0,788052587.0,3117900409.0,35486600602.0,29905071578.0,0
111, Madagascar ,2021,28915653,489,3466856929.0,1014292122.0,3042228890.0,4254240652.0,1151112389.0,1861302943.0,14144956116.0,14449793300.0,0
112, Malawi ,2021,19889742,602,3255907239.0,371165152.0,1166173101.0,4245488943.0,1084798496.0,1517826387.0,11978680998.0,12199195237.0,0
113, Malaysia ,2021,33573874,10769,35828708048.0,13404299036.0,257000000000.0,230000000000.0,34558463786.0,69405586537.0,362000000000.0,373000000000.0,0
114, Maldives ,2021,521457,9391,284647648.0,275598079.0,4096963875.0,3663567979.0,408930566.0,1602790799.0,4896768208.0,5405576797.0,0
115, Mali ,2021,21904983,849,6792621701.0,820292255.0,5662920941.0,7697809993.0,1011303261.0,1968589178.0,18589076620.0,19157055766.0,0
116, Malta ,2021,526748,31132,158014105.0,754943140.0,30186726112.0,27274701195.0,2178489377.0,1818818049.0,16398973526.0,17720643244.0,0
117, Mauritania ,2021,4614974,2144,1857172661.0,388296978.0,3943762109.0,6091765678.0,576151915.0,1118132539.0,9893665390.0,9996240419.0,0
118, Mauritius ,2021,1298915,9005,376435535.0,537732639.0,5077288761.0,6196756542.0,1073378980.0,1470889384.0,11696307217.0,11525219786.0,0
119, Mexico ,2021,126705138,9956,49503262341.0,89566500593.0,523000000000.0,545000000000.0,94029025198.0,271000000000.0,1260000000000.0,1270000000000.0,2
120, Monaco ,2021,36686,234317,,784866470.0,2531460816.0,2698412286.0,641400070.0,2009830609.0,8596156574.0,8596156574.0,0
121, Mongolia ,2021,3347782,3889,1991635340.0,415859697.0,9031863589.0,9106679262.0,759634980.0,1588792612.0,13021197490.0,15098022752.0,0
122, Republic of Moldova ,2021,3061506,4592,1420712131.0,1078142124.0,4188838732.0,7933434732.0,1336871617.0,2287332701.0,14056972757.0,13680098590.0,0
123, Montenegro ,2021,627859,9529,366767770.0,292018583.0,2500549564.0,3642840155.0,481570923.0,1138073657.0,5983139051.0,5809147307.0,0
124, Montserrat ,2021,4417,16204,450794.0,4493067.0,24617346.0,57521453.0,5060370.0,5332543.0,71572379.0,71552836.0,0
125, Morocco ,2021,37076584,3801,17195224421.0,8014032156.0,47048311914.0,60032592654.0,7919577963.0,17784645283.0,141000000000.0,143000000000.0,0
126, Mozambique ,2021,32077072,481,4337879339.0,204911964.0,4951390235.0,10859636829.0,1357103287.0,1655405341.0,15436765197.0,15776758633.0,0
127, Oman ,2021,4520471,18184,1870357633.0,6918675147.0,46324248882.0,36502257547.0,4690590479.0,8976703956.0,82199438075.0,88191977477.0,0
128, Namibia ,2021,2530151,4760,1149835034.0,221860498.0,3908420106.0,6035644872.0,548550575.0,1414370444.0,12044062492.0,12236251093.0,0
129, Nauru ,2021,12511,17434,3702092.0,4626287.0,7329761.0,137508219.0,29646810.0,34131340.0,218119496.0,155015921.0,0
130, Nepal ,2021,30034989,1212,7719330708.0,1844562571.0,1886115402.0,13976694541.0,2349367580.0,5444395145.0,36404290306.0,36207179306.0,0
131, Netherlands ,2021,17501696,56574,15667760888.0,47427886434.0,840000000000.0,737000000000.0,89203521605.0,145000000000.0,990000000000.0,1010000000000.0,2
132, Curaçao ,2021,190338,15409,5246814.0,110452876.0,1490339596.0,2049501071.0,178715013.0,406585134.0,2932918666.0,2699612444.0,0
133, Aruba ,2021,106537,27927,841446.0,152546052.0,2154231633.0,2133552215.0,247731699.0,825225108.0,2975259102.0,3126019399.0,0
134, Sint Maarten (Dutch part) ,2021,44042,25320,,28190674.0,1180649816.0,1198509739.0,144820260.0,235496777.0,1115132401.0,1153842827.0,0
135, New Caledonia ,2021,287800,34994,197698925.0,978283888.0,1996649815.0,3929184076.0,722743847.0,1054621146.0,10071349707.0,10071349707.0,0
136, Vanuatu ,2021,319137,3183,213139939.0,51999944.0,94288796.0,414459836.0,81862755.0,206674143.0,1015810511.0,980571481.0,0
137, New Zealand ,2021,5129727,47876,14241488418.0,16937005013.0,56314188711.0,66382798133.0,16566555427.0,28028098566.0,246000000000.0,250000000000.0,0
138, Nicaragua ,2021,6850540,1927,2169868164.0,637431561.0,6563591377.0,8322721665.0,595243804.0,2056085842.0,13198637240.0,14013014452.0,0
139, Niger ,2021,25252722,585,5441145887.0,687567048.0,1533845410.0,4060936624.0,719811797.0,2049185666.0,14777138298.0,14915001994.0,0
140, Nigeria ,2021,213401323,1868,101000000000.0,40594204014.0,46274474184.0,51013026044.0,51768213546.0,60642496205.0,399000000000.0,431000000000.0,0
141, Norway ,2021,5403021,93149,7780093132.0,26158556461.0,200000000000.0,141000000000.0,32996507567.0,37981140861.0,503000000000.0,482000000000.0,0
142, Micronesia (FS of) ,2021,113131,3934,90881445.0,7536789.0,97800000.0,289000000.0,23335764.0,52522047.0,445078050.0,404178050.0,0
143, Marshall Islands ,2021,42050,7455,60476000.0,12933000.0,103478775.0,196420769.0,22259000.0,32625000.0,313462675.0,256979000.0,0
144, Palau ,2021,18024,16252,8316513.0,18102991.0,13315887.0,173663248.0,8320944.0,41695727.0,292932037.0,217804328.0,0
145, Pakistan ,2021,231402117,1584,77657773775.0,8497230574.0,31024419774.0,61622526877.0,34737229970.0,63235460659.0,366000000000.0,343000000000.0,0
146, Panama ,2021,4351267,14012,1653008354.0,9191713711.0,32479296000.0,26481419000.0,8004669382.0,12706147103.0,60968596257.0,63605065781.0,0
147, Papua New Guinea ,2021,9949437,2607,5145732000.0,1516827000.0,12198558491.0,9504257385.0,1000293000.0,2886964500.0,25938447797.0,26594518500.0,0
148, Paraguay ,2021,6703799,5842,4213161287.0,3136800787.0,14122303042.0,13249910065.0,2733363328.0,4791348285.0,39162334271.0,40458386036.0,0
149, Peru ,2021,33715471,6446,15561179655.0,17150385679.0,64933252177.0,58979721002.0,17487966332.0,29542172617.0,217000000000.0,223000000000.0,0
150, Philippines ,2021,113880328,3584,39678420574.0,27356761112.0,101000000000.0,149000000000.0,25279078744.0,76916279078.0,408000000000.0,394000000000.0,0
151, Poland ,2021,38307726,16908,15110631595.0,40852771724.0,393000000000.0,371000000000.0,63242363896.0,107000000000.0,648000000000.0,679000000000.0,2
152, Portugal ,2021,10290103,24353,5556320007.0,10572030708.0,106000000000.0,113000000000.0,17304256513.0,38549494362.0,251000000000.0,254000000000.0,0
153, Guinea-Bissau ,2021,2060721,760,500610377.0,29213939.0,280981048.0,512717373.0,104133078.0,413832568.0,1565368514.0,1563164283.0,0
154, Timor-Leste ,2021,1320942,1842,316079516.0,234683389.0,740004120.0,1141694059.0,57274431.0,294214789.0,2433018215.0,2004164748.0,0
155, Puerto Rico ,2021,3256028,22598,711000000.0,980400000.0,73850800000.0,58324800000.0,3091300000.0,10910500000.0,73580800000.0,107000000000.0,0
156, Qatar ,2021,2688235,65863,536032165.0,24131484838.0,106000000000.0,61326923077.0,10117575226.0,14697209085.0,177000000000.0,180000000000.0,0
157, Romania ,2021,19328560,14416,12356911367.0,18610179269.0,116000000000.0,132000000000.0,35404482724.0,36563477216.0,279000000000.0,284000000000.0,0
158, Russian Federation ,2021,145102755,11960,67533078862.0,121000000000.0,549000000000.0,379000000000.0,116000000000.0,260000000000.0,1740000000000.0,1780000000000.0,2
159, Rwanda ,2021,13461888,795,2663295502.0,766721607.0,2110001677.0,3850803636.0,831457996.0,1226956872.0,10699102688.0,11069922510.0,0
160, Saint Kitts and Nevis ,2021,47606,17835,12248148.0,140111111.0,316824066.0,472224183.0,88103704.0,75800000.0,849050390.0,860844444.0,0
161, Anguilla ,2021,15753,17312,2603704.0,23837037.0,229889447.0,311110493.0,14933333.0,79022222.0,272722052.0,302714815.0,0
162, Saint Lucia ,2021,179651,9655,33178589.0,72646672.0,542885843.0,800822401.0,139804834.0,490137949.0,1734513535.0,1764902581.0,0
163, St. Vincent and the Grenadines ,2021,104332,8395,57463034.0,53196295.0,138551578.0,415725926.0,92244538.0,119241882.0,875838113.0,880564698.0,0
164, San Marino ,2021,33745,45440,232469.0,73795453.0,3047387074.0,2613132369.0,114841948.0,245494106.0,1533364674.0,1701595072.0,0
165, Sao Tome and Principe ,2021,223107,2512,69134978.0,29323309.0,87044116.0,213366304.0,61904630.0,166481271.0,560381545.0,554603297.0,0
166, Saudi Arabia ,2021,35950396,23642,19267089709.0,45513407534.0,290000000000.0,203000000000.0,45671772961.0,76680354158.0,850000000000.0,834000000000.0,0
167, Senegal ,2021,16876720,1602,4233226378.0,858907702.0,6398308754.0,12200873996.0,2040410377.0,3789490096.0,27041622169.0,27625162484.0,0
168, Serbia ,2021,7296769,8377,4118418237.0,3766796948.0,34309384827.0,39259651071.0,5720720128.0,8309159146.0,61127521109.0,63068108024.0,0
169, Seychelles ,2021,106471,11500,37114693.0,35814497.0,1434884762.0,1599359588.0,94382428.0,196566033.0,1224371169.0,1286662389.0,0
170, Sierra Leone ,2021,8420641,499,2441133704.0,32608500.0,719316463.0,1761846791.0,121293937.0,249172528.0,4200434953.0,4249234287.0,0
171, Singapore ,2021,5941060,58770,133310176.0,10845017306.0,734000000000.0,609000000000.0,43963924624.0,77260355543.0,349000000000.0,397000000000.0,2
172, Slovakia ,2021,5447622,21124,2031898178.0,6256266906.0,109000000000.0,110000000000.0,11939867511.0,13710759740.0,115000000000.0,117000000000.0,0
173, Viet Nam ,2021,97468029,3564,45988233891.0,21852411532.0,342000000000.0,341000000000.0,29539550766.0,40559151977.0,347000000000.0,366000000000.0,2
174, Slovenia ,2021,2119410,28724,1043199426.0,3340389803.0,51640294109.0,47725668510.0,5596049437.0,7595978144.0,60877394215.0,61748586535.0,0
175, Somalia ,2021,17065581,444,4033256247.0,281144862.0,1532000000.0,6544000000.0,628783908.0,712450371.0,7585376432.0,7628276434.0,0
176, South Africa ,2021,59392255,6920,10339669907.0,9540895284.0,131000000000.0,105000000000.0,26913986289.0,50836957168.0,411000000000.0,419000000000.0,0
177, Zimbabwe ,2021,15993524,1471,2134432052.0,774679206.0,6128770937.0,7452806195.0,1500260268.0,6371012537.0,23523946980.0,24118150864.0,0
178, Spain ,2021,47486935,30216,37275243612.0,71987488973.0,499000000000.0,477000000000.0,102000000000.0,233000000000.0,1430000000000.0,1430000000000.0,2
179, South Sudan ,2021,10748272,386,171289883.0,256063497.0,1490507224.0,2017971729.0,374170883.0,348448282.0,4144495715.0,4304069241.0,0
180, Sudan ,2021,45657202,745,7074807530.0,1219462716.0,2573536170.0,5784766937.0,3170408748.0,6043576260.0,34023148464.0,35867261255.0,0
181, Suriname ,2021,612985,4588,296223189.0,229747222.0,1766134663.0,1706376363.0,198866785.0,763222842.0,2812394345.0,3223849313.0,0
